Model,Colour,Memory,RAM,Battery_,Rear Camera [MP],Front Camera [MP],AI Lens,Mobile Height,Processor_,Prize
125,109,64,4,5000,50,8,0,16.76,35,8449
30,179,256,8,5000,50,16,0,17.22,44,17999
125,256,64,4,5000,50,8,0,16.76,35,8495
30,244,256,8,5000,50,16,0,17.22,44,17999
6,29,64,4,5000,13,8,0,16.51,68,7999
179,241,64,4,5000,13,5,0,16.54,65,11999
179,66,64,3,5000,13,5,0,16.54,65,10499
179,241,128,4,5000,13,5,0,16.54,65,12999
133,25,128,8,4500,50,16,0,16.64,87,29499
91,237,128,6,5080,64,16,0,16.76,8,20998
125,259,64,4,5000,50,8,0,16.76,35,9290
91,194,256,8,5080,64,16,0,16.76,8,23999
61,91,128,8,5000,13,5,0,16.66,3,19280
125,10,64,4,5000,50,8,0,16.76,35,8649
30,45,256,8,5000,50,16,0,17.22,44,17999
179,241,64,3,5000,13,5,0,16.54,65,10999
80,115,128,8,5000,64,16,0,16.94,79,19499
161,33,64,4,5000,8,5,0,16.51,100,9349
80,115,128,8,5000,64,16,0,16.94,79,19499
126,72,64,4,5000,13,5,0,16.66,1,8288
84,9,64,4,6000,50,13,0,16.51,21,12272
126,72,32,3,5000,13,5,0,16.66,1,6794
108,119,128,6,5000,50,8,0,16.76,78,21999
106,59,128,6,5000,50,13,0,16.76,101,18999
100,166,256,4,4980,200,16,0,16.94,44,32999
152,91,64,4,5000,50,8,0,16.76,120,9699
152,91,128,4,5000,50,8,0,16.76,120,10699
45,46,64,4,5000,50,16,0,16.51,58,10999
127,265,32,2,5000,8,5,0,16.76,110,5999
179,66,64,4,5000,13,5,0,16.54,65,11999
173,227,256,4,4200,64,50,0,16.36,52,27540
67,93,128,8,4500,50,32,0,17.02,71,27877
108,170,128,6,5000,50,8,0,16.76,78,21999
127,206,32,2,5000,8,5,0,16.76,110,5990
127,61,32,2,5000,8,5,0,16.76,110,5999
91,182,128,6,5080,64,16,0,16.76,8,21499
77,40,128,8,5000,50,16,0,16.76,49,15999
38,136,64,4,5000,50,16,0,16.43,75,11980
25,235,64,2,5000,8,5,0,16.76,56,6999
25,98,64,2,5000,8,5,0,16.76,56,6999
25,121,64,2,5000,8,5,0,16.76,56,6999
25,184,64,2,5000,8,5,0,16.76,56,6999
136,156,128,8,5000,108,16,0,17.02,45,23999
142,190,64,4,5000,50,16,0,16.76,76,11999
